Date,Open,High,Low,Close,Volume,Adj Close
2014-10-01,100.59,102.38,98.04,101.02,62003100,100.58
2014-09-02,103.06,103.74,96.14,100.75,75388300,100.32
2014-08-01,94.9,102.9,93.28,102.5,46746200,102.06
2014-07-01,93.52,99.44,92.57,95.6,49637900,94.72
2014-06-02,633.96,651.26,89.65,92.93,59839500,92.07
2014-05-01,592,644.17,580.33,633,74996300,89.59
2014-04-01,537.76,599.43,511.33,590.09,82044000,83.06
2014-03-03,523.42,549,522.81,536.74,61552000,75.55
2014-02-03,502.61,551.19,499.3,526.24,82267500,74.07
2014-01-02,555.68,560.2,493.55,500.6,109889900,70.04
2013-12-02,558,575.14,538.8,561.02,86672400,78.49
2013-11-01,524.02,558.33,512.38,556.07,69291000,77.8
2013-10-01,478.45,539.25,478.28,522.7,88189400,72.71
2013-09-03,493.1,507.92,447.22,476.75,111138700,66.32
2013-08-01,455.75,513.74,453.26,487.22,94666300,67.77
2013-07-01,402.69,457.34,401.22,452.53,77966700,62.53
2013-06-03,450.73,454.43,388.87,396.53,94963100,54.8
2013-05-01,444.46,465.75,418.9,449.73,111725300,62.15
2013-04-01,441.9,445.25,385.1,442.78,132443500,60.78
2013-03-01,438,469.95,419,442.66,120246400,60.77
2013-02-01,459.11,484.94,437.66,441.4,127191400,60.6
2013-01-02,553.82,555,435,455.49,160032800,62.17
2012-12-03,593.65,594.59,501.23,532.17,159903000,72.63
2012-11-01,598.22,603,505.75,585.28,158585300,79.88
2012-10-01,671.16,676.75,587.7,595.32,150628900,80.88
2012-09-04,665.76,705.07,656,667.1,128080400,90.63
2012-08-01,615.91,680.87,600.25,665.24,93636100,90.38
2012-07-02,584.73,619.87,570,610.76,111571100,82.63
2012-06-01,569.16,590,548.5,584,98539600,79.01
2012-05-01,584.9,596.76,522.18,577.73,131795600,78.16
2012-04-02,601.83,644,555,583.98,201314100,79
2012-03-01,548.17,621.45,516.22,599.55,185402000,81.11
2012-02-01,458.41,547.61,453.98,542.44,154007000,73.38
2012-01-03,409.4,458.24,409,456.48,90644200,61.75
2011-12-01,382.54,409.09,377.68,405,77216600,54.79
2011-11-01,397.41,408,363.32,382.2,111543300,51.71
2011-10-03,380.37,426.7,354.24,404.78,161034800,54.76
2011-09-01,385.82,422.86,366.48,381.32,149108200,51.59
2011-08-01,397.78,399.5,353.02,384.83,181143300,52.06
2011-07-01,335.95,404.5,334.2,390.48,141081600,52.83
2011-06-01,348.87,352.13,310.5,335.67,108940900,45.41
2011-05-02,349.74,351.83,329.42,347.83,87259700,47.06
2011-04-01,351.11,355.13,320.16,350.13,128252100,47.37
2011-03-01,355.47,361.67,326.26,348.51,125874700,47.15
2011-02-01,341.3,364.9,337.72,353.21,127618700,47.78
2011-01-03,325.64,348.6,324.84,339.32,140234700,45.9
2010-12-01,315.27,326.66,314.89,322.56,81440200,43.64
2010-11-01,302.22,321.3,297.76,311.15,119166000,42.09
2010-10-01,286.15,319,277.77,300.98,150774800,40.72
2010-09-01,247.47,294.73,246.28,283.75,149087000,38.39
2010-08-02,260.44,264.28,235.56,243.1,113748900,32.89
2010-07-01,254.3,265.99,239.6,257.25,191879900,34.8
2010-06-01,259.69,279.01,242.2,251.53,197621600,34.03
2010-05-03,263.84,267.88,199.25,256.88,236228300,34.75
2010-04-01,237.41,272.46,232.75,261.09,153685600,35.32
2010-03-01,205.75,237.48,205.45,235,136791600,31.79
2010-02-01,192.37,205.17,190.85,204.62,148467600,27.68
2010-01-04,213.43,215.59,190.25,192.06,215986100,25.98
2009-12-01,202.24,213.95,188.68,210.73,133481400,28.51
2009-11-02,189.8,208,185.57,199.91,110995500,27.04
2009-10-01,185.35,208.71,180.7,188.5,155382900,25.5
2009-09-01,167.99,188.9,164.11,185.35,125344100,25.07
2009-08-03,165.21,172.49,159.42,168.21,100910200,22.76
2009-07-01,143.5,165,134.42,163.39,129144000,22.1
2009-06-01,136.47,146.4,132.88,142.43,148974900,19.27
2009-05-01,125.8,135.9,119.38,135.81,123920900,18.37
2009-04-01,104.09,127.2,103.89,125.83,146668700,17.02
2009-03-02,88.12,109.98,82.33,105.12,181757700,14.22
2009-02-02,89.1,103,86.51,89.31,191764500,12.08
2009-01-02,85.88,97.17,78.2,90.13,234465200,12.19
2008-12-01,91.3,103.6,84.55,85.35,236606600,11.55
2008-11-03,105.93,111.79,79.14,92.67,314700400,12.54
2008-10-01,111.92,116.4,85,107.59,468331100,14.56
2008-09-02,172.4,173.5,100.59,113.66,305883800,15.38
2008-08-01,159.9,180.45,152.91,169.53,162917200,22.93
2008-07-01,164.23,180.91,146.53,158.95,231673400,21.5
2008-06-02,188.6,189.95,164.15,167.44,239999900,22.65
2008-05-01,174.96,192.24,172,188.75,228552300,25.53
2008-04-01,146.3,180,143.61,173.95,271892100,23.53
2008-03-03,124.44,145.74,118,143.5,296191700,19.41
2008-02-01,136.24,136.59,115.44,125.02,326517900,16.91
2008-01-02,199.27,200.26,126.14,135.36,434756700,18.31
2007-12-03,181.86,202.96,176.99,198.08,222400100,26.8
2007-11-01,188.6,192.68,150.63,182.22,326042700,24.65
2007-10-01,154.63,190.12,152.93,189.95,262077200,25.7
2007-09-04,139.94,155,130,153.47,283504200,20.76
2007-08-01,133.64,139.65,111.62,138.48,274322600,18.73
2007-07-02,121.05,148.92,119.3,131.76,306916200,17.82
2007-06-01,121.1,127.61,115.4,122.04,290683100,16.51
2007-05-01,99.59,122.17,98.55,121.19,212069700,16.39
2007-04-02,94.14,102.5,89.6,99.8,175953100,13.5
2007-03-01,84.03,96.83,83.75,92.91,187718200,12.57
2007-02-01,86.23,90.81,82.86,84.61,192655600,11.45
2007-01-03,86.29,97.8,81.9,85.73,350823100,11.6
2006-12-01,91.8,92.33,76.77,84.84,224590200,11.48
2006-11-01,81.1,93.16,77.79,91.66,175063900,12.4
2006-10-02,75.1,82.6,72.6,81.08,169198000,10.97
2006-09-01,68.48,77.78,67.82,76.98,226592100,10.41
2006-08-01,67.22,70,62.58,67.85,200677600,9.18
2006-07-03,57.52,68.63,50.16,67.96,229657200,9.19
2006-06-01,59.85,63.1,55.41,57.27,212230900,7.75
2006-05-01,70.77,73.8,58.69,59.77,191929000,8.09
2006-04-03,63.67,72.05,61.05,70.39,274727800,9.52
2006-03-01,68.84,69.99,57.67,62.72,260956400,8.48
2006-02-01,74.95,76.46,62.9,68.49,263522000,9.27
2006-01-03,72.38,86.4,70.87,75.51,284898900,10.22
2005-12-01,68.95,75.46,68.81,71.89,162957400,9.73
2005-11-01,57.24,71.07,56.87,67.82,167286900,9.17
2005-10-03,54.16,57.98,47.87,57.59,233146300,7.79
2005-09-01,47,54.56,46.09,53.61,153326200,7.25
2005-08-01,42.57,48.33,42.02,46.89,106562600,6.34
2005-07-01,36.83,44.38,36.29,42.65,133204000,5.77
2005-06-01,39.89,40.76,35.52,36.81,133472500,4.98
2005-05-02,36.21,40.94,33.11,39.76,157886900,5.38
2005-04-01,42.09,44.45,34,36.06,238656500,4.88
2005-03-01,44.99,45.11,38.83,41.67,174000600,5.64
2005-02-01,77.05,90.88,43.96,44.86,290796800,6.07
2005-01-03,64.78,77.89,62.6,76.9,342366700,5.2
2004-12-01,67.79,67.95,61.6,64.4,184400000,4.36
2004-11-01,52.5,69.57,52.04,67.05,219858600,4.54
2004-10-01,39.12,53.2,37.65,52.4,201245000,3.54
2004-09-01,34.3,39.27,34.19,38.75,96410900,2.62
2004-08-02,31.18,35.18,29.7,34.49,95317300,2.33
2004-07-01,32.1,33.63,28.74,32.34,118328600,2.19
2004-06-01,27.79,34.19,27.61,32.54,102384200,2.2
2004-05-03,26,28.78,25.5,28.06,68124900,1.9
2004-04-01,26.89,29.58,25.49,25.78,111865200,1.74
2004-03-01,24.1,28.14,23.6,27.04,130618300,1.83
2004-02-02,22.46,24.1,21.7,23.92,70932400,1.62
2004-01-02,21.55,24.84,21.18,22.56,101413700,1.53
2003-12-01,21.04,21.9,19.25,21.37,63958200,1.45
2003-11-03,22.83,23.3,19.85,20.91,66450000,1.41
2003-10-01,20.71,25.01,20.19,22.89,78895000,1.55
2003-09-02,22.66,23.32,20.15,20.72,67058400,1.4
2003-08-01,21,22.85,19.42,22.61,54413300,1.53
2003-07-01,18.87,21.57,18.51,21.08,62724200,1.43
2003-06-02,18.1,19.69,16.63,19.06,75422400,1.29
2003-05-01,14.25,19.01,14,17.95,133265400,1.21
